"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1293","@Master Verify that 3 products are getting displayed on UI","chromium","2026-04-27","passed","2026-04-27","","Dashboard.spec.ts","",""
"","5156","@Master User registration testcase","chromium","2026-04-27","passed","2026-04-27","","AccountRegistration.spec.ts","",""
